feature,n,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p,spearman_p_fdr,spearman_reject_fdr
review_count,1435,0.6994592304643407,2.5947646358401486e-211,0.8461461479488772,0.0,0.686482375856169,0.0,0.0,True
delivery_label_3,1435,0.678642469285946,2.7011483731431396e-194,0.8427601764453764,0.0,0.6824923523216835,0.0,0.0,True
packaging_label_3,1435,0.6699734849111755,1.285176993032649e-187,0.8440705533181425,0.0,0.6834687187898715,0.0,0.0,True
service_label_3,1435,0.6930722554281662,6.166328315274598e-206,0.8442480035486987,0.0,0.6834890955134664,0.0,0.0,True
physical_label_3,1435,0.6893055000263674,7.850869722306343e-203,0.8458919567048145,0.0,0.6876019370911741,0.0,0.0,True
price_label_3,1435,0.693608621579417,2.2079877967929458e-206,0.8476681755394774,0.0,0.6887298542256124,0.0,0.0,True
content_label_2,1435,0.7074937666911635,2.7851518257857796e-218,0.8133982069231575,0.0,0.6569817040112571,5.251387645397603e-286,0.0,True
content_label_3,1435,0.6212999894337875,5.5675775679079005e-154,0.8159775513130478,0.0,0.6435043012197331,1.457861518694278e-280,0.0,True
delivery_label_2,1435,0.6913582679117732,1.617253839672144e-204,0.7950303261394207,1.95535129176e-313,0.6337846919944923,4.993154792045441e-262,5.8660538753e-313,True
physical_label_2,1435,0.6300020676679615,1.4843974908821103e-159,0.7815208550070393,6.449878990178282e-296,0.6118897284563791,6.241914595432067e-248,1.7414673273481362e-295,True
packaging_label_2,1435,0.6952497864420343,9.399649854159025e-208,0.7695046999432359,2.3466897050766803e-281,0.6089585511649566,7.302706652608293e-238,5.760056548824579e-281,True
service_label_2,1435,0.7072410841446092,4.652030426953974e-218,0.7116307770401923,5.793103990955967e-222,0.5727486059254847,1.8407937346344406e-189,1.3034483979650928e-221,True
physical_label_0,1435,0.6122465422336456,2.2966388850227167e-148,0.705887926743728,7.189359080782166e-217,0.5565330035386791,1.7372339991914766e-186,1.493174578316296e-216,True
content_label_1,1435,0.6487510223498382,3.4360368576618864e-172,0.6728488517143342,8.307104875053361e-190,0.5382139214407455,1.0829992352309802e-166,1.602084511617434e-189,True
price_label_2,1435,0.585735477884661,6.313805850987766e-133,0.6706083949851991,4.2424949795547424e-188,0.5295954921844095,2.2120145230804012e-163,7.636490963198535e-188,True
packaging_label_0,1435,0.6041618163327042,1.6741778261642852e-143,0.6534481343408173,1.6940168685134363e-175,0.5196478786680042,7.325891012355644e-155,2.858653465616424e-175,True
content_label_0,1435,0.4771234372801193,1.837504038003364e-82,0.6454200427740301,7.014606870838467e-170,0.5117093437193291,3.351800612238607e-145,1.11408462066258e-169,True
delivery_label_0,1435,0.616251563814807,7.935257980028447e-151,0.6410406483712593,6.908224260124014e-167,0.5131847520133823,7.151752551766593e-144,1.0362336390186021e-166,True
physical_label_1,1435,0.5466770494515794,1.2772269613887122e-112,0.6276995512737276,4.610057010200524e-158,0.502321727692301,4.936406304288407e-140,6.551133646074429e-158,True
delivery_label_1,1435,0.6258766648557506,6.857248723720783e-157,0.5955721600091759,1.735810647014458e-138,0.4808847048782638,3.914840245914608e-124,2.3433443734695184e-138,True
service_label_0,1435,0.5909135087658905,7.888035543492594e-136,0.5540947555302005,2.853714838398586e-116,0.4460023603922259,2.319081979961426e-104,3.669061935083896e-116,True
price_label_1,1435,0.5679960730623508,2.2928065014459562e-123,0.5196056517363852,4.812054313010531e-100,0.4205335902887703,4.196666841215777e-91,5.905703020512924e-100,True
price_label_0,1435,0.3972370457496442,1.923608744797197e-55,0.4307986445927517,6.429749721178482e-66,0.3473771402441609,8.721408989491056e-61,7.547967063992131e-66,True
packaging_label_1,1435,0.5159665810920054,1.9390724061924217e-98,0.41557178081495777,5.119763627333205e-61,0.33720398705841914,5.75550466686783e-57,5.759734080749856e-61,True
avg_rating,1435,0.013383089803556937,0.6124699028385613,-0.23318754037965408,3.5733646872268076e-19,-0.16630743538420012,3.4827171181662866e-20,3.859233862204952e-19,True
service_label_1,1435,0.26443672879364,2.1878251797171023e-24,0.21889719347461392,4.994789397332517e-17,0.17886665544067357,9.92459242428917e-17,5.186896681845307e-17,True
Discount_Rate,1435,0.06446949261853598,0.014581592873625922,0.1756816827882162,2.0635799132795114e-11,0.12076972680610121,3.271558814649182e-11,2.0635799132795114e-11,True
