Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,as_content_label_id_0,as_content_label_id_1,as_content_label_id_2,as_content_label_id_3,as_physical_label_id_0,as_physical_label_id_1,as_physical_label_id_2,as_physical_label_id_3,as_price_label_id_0,as_price_label_id_1,as_price_label_id_2,as_price_label_id_3,as_packaging_label_id_0,as_packaging_label_id_1,as_packaging_label_id_2,as_packaging_label_id_3,as_delivery_label_id_0,as_delivery_label_id_1,as_delivery_label_id_2,as_delivery_label_id_3,as_service_label_id_0,as_service_label_id_1,as_service_label_id_2,as_service_label_id_3
199000,1518,4.8,53,15,2.0,1.0,21.0,6.0,1.0,0.0,6.0,23.0,1.0,0.0,1.0,28.0,0.0,0.0,3.0,27.0,0.0,0.0,7.0,23.0,0.0,0.0,0.0,30.0
119000,1424,5.0,59,30,0.0,1.0,5.0,9.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,10.0,0.0,0.0,4.0,11.0,0.0,0.0,1.0,14.0
199000,142,5.0,9,15,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
109000,2491,5.0,112,35,1.0,1.0,13.0,14.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,29.0,0.0,0.0,5.0,24.0,0.0,0.0,5.0,24.0,0.0,0.0,0.0,29.0
236350,738,4.7,74,0,4.0,8.0,74.0,164.0,44.0,25.0,94.0,87.0,1.0,5.0,29.0,215.0,11.0,1.0,46.0,192.0,10.0,6.0,63.0,171.0,4.0,0.0,15.0,231.0
58000,72,5.0,2,7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
105000,298,5.0,11,23,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0
179000,67,5.0,11,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
239000,5637,5.0,427,40,3.0,10.0,114.0,119.0,7.0,3.0,132.0,104.0,1.0,1.0,5.0,239.0,8.0,0.0,36.0,202.0,1.0,2.0,62.0,181.0,0.0,0.0,10.0,236.0
117950,44,5.0,2,0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
