ID,Seller ID,Name,Price (After Discount),Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,URL
270880693,2953,Ai Tăng Lương Cho Bạn? 3 Bí Quyết Đơn Giản Để Thăng Tiến Và Hạnh Phúc Trong Công Việc,169000,199000,1518,4.8,53,15,https://tiki.vn/ai-tang-luong-cho-ban-3-bi-quyet-don-gian-de-thang-tien-va-hanh-phuc-trong-cong-viec-p270880693.html?spid=270880694
271518926,1,Sách Dám bị ghét,83300,119000,1424,5.0,59,30,https://tiki.vn/sach-dam-bi-ghet-p271518926.html?spid=271518929
278398007,2953,"Sách - Sống Đời Rủng Rỉnh Thong Dong - Quán Xuyến Chuyện Tiền Nong, Hướng Về An Tâm Tài Chính",169000,199000,142,5.0,9,15,https://tiki.vn/sach-song-doi-rung-rinh-thong-dong-quan-xuyen-chuyen-tien-nong-huong-ve-an-tam-tai-chinh-p278398007.html?spid=278398008
276960030,1,Sách Khi Mọi Điều Không Như Ý,70850,109000,2491,5.0,112,35,https://tiki.vn/sach-khi-moi-dieu-khong-nhu-y-p276960030.html?spid=276960033
403896,9988,Sách Đại Việt Sử Ký Toàn Thư,236350,236350,738,4.7,74,0,https://tiki.vn/sach-dai-viet-su-ky-toan-thu-p403896.html?spid=7719895
278949629,1,Vương quốc thất tịch,54000,58000,72,5.0,2,7,https://tiki.vn/vuong-quoc-that-tich-p278949629.html?spid=278949632
278879928,1,Sách Nếu Như Không Thể Nói Nếu Như & Có Ai Giữ Giùm Những Lãng Quên & Thức Dậy Anh Vẫn Là Mơ - Tái Bản 2025,80850,105000,298,5.0,11,23,https://tiki.vn/sach-neu-nhu-khong-the-noi-neu-nhu-co-ai-giu-gium-nhung-lang-quen-thuc-day-anh-van-la-mo-tai-ban-2025-p278879928.html?spid=278879977
278859517,1,Sách Thương Tiến Tửu,119400,179000,67,5.0,11,33,https://tiki.vn/sach-thuong-tien-tuu-tap-7-p278859517.html?spid=278859568
8293201,6350,Tiếng Hàn cơ bản cùng Cheri Hyeri (Tái bản),143000,239000,5637,5.0,427,40,https://tiki.vn/tieng-han-co-ban-cung-cheri-hyeri-tai-ban-p8293201.html?spid=8293202
601472,9988,Sách Cổ Tích Việt Nam Bằng Thơ (Ấn Bản Kỉ Niệm 60 Năm NXB Kim Đồng),117950,117950,44,5.0,2,0,https://tiki.vn/sach-co-tich-viet-nam-bang-tho-an-ban-ki-niem-60-nam-nxb-kim-dong-p601472.html?spid=8496100
279116173,2953,"Sách - Vì Sao Bạn Chưa Giàu? - Cẩm Nang Tài Chính Giúp Bạn Tiêu Xài Đúng Cách, Tiết Kiệm Khôn Ngoan Và Đầu Tư Hiệu Quả",199000,210000,3,5.0,1,5,https://tiki.vn/sach-vi-sao-ban-chua-giau-cam-nang-tai-chinh-giup-ban-tieu-xai-dung-cach-tiet-kiem-khon-ngoan-va-dau-tu-hieu-qua-p279116173.html?spid=279116174
180585154,9988,Combo 3 Quyển Nuôi Con Không Phải Là Cuộc Chiến Phần 2 + Phương Pháp Giáo Dục Con Của Người Do Thái (Bộ 4 cuốn),461350,461350,48,4.8,4,0,https://tiki.vn/combo-3-quyen-nuoi-con-khong-phai-la-cuoc-chien-phan-2-phuong-phap-giao-duc-con-cua-nguoi-do-thai-bo-4-cuon-p180585154.html?spid=180585155
278856619,1,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,89000,115000,656,5.0,43,23,https://tiki.vn/sach-co-be-hang-xom-va-bon-vien-keo-p278856619.html?spid=278856627
278838097,1,Sách Tính Bản Ác (M. Scott Peck) - Tuệ Tri,123000,185000,312,4.7,16,34,https://tiki.vn/sach-tinh-ban-ac-p278838097.html?spid=278838098
278790552,1,Bộ Truyện One Piece [Chọn Tập Lẻ,28500,30000,1311,5.0,136,5,https://tiki.vn/bo-truyen-one-piece-chon-tap-le-p278790552.html?spid=278790705
278785576,1,Sách Dragon Ball - 7 Viên Ngọc Rồng [Chọn Tập Lẻ,28500,30000,392,4.8,4,5,https://tiki.vn/sach-dragon-ball-7-vien-ngoc-rong-chon-tap-le-p278785576.html?spid=278785641
142791574,9988,Sách T.E.T - Bồi Dưỡng Giáo Viên Hiệu Quả (Tái Bản),129500,129500,16,5.0,1,0,https://tiki.vn/sach-t-e-t-boi-duong-giao-vien-hieu-qua-tai-ban-p142791574.html?spid=175540841
275813581,148,"Thiệp mừng phụ nữ 8/3, 20/10, SDstationery Sắc Sảo Thông Minh, cô gái Bắc bộ, chữ nhật 14 x 10,8 cm",31900,31900,1,5.0,1,0,https://tiki.vn/thiep-mung-phu-nu-8-3-20-10-sdstationery-sac-sao-thong-minh-co-gai-bac-bo-chu-nhat-14-x-10-8-cm-p275813581.html?spid=275813582
175465738,9988,Combo 4Q Sách Lật Mở Tương Tác - SÁCH ÂM THANH + Poster An Toàn Cho Bé (Sách kích thích não bộ của trẻ),727080,727080,22,5.0,1,0,https://tiki.vn/combo-4q-sach-lat-mo-tuong-tac-sach-am-thanh-poster-an-toan-cho-be-sach-kich-thich-nao-bo-cua-tre-p175465738.html?spid=175465739
204083235,9988,Trong Cái Không Có Gì Không?,153350,153350,67,5.0,2,0,https://tiki.vn/trong-cai-khong-co-gi-khong-p204083235.html?spid=263065483
25728855,9988,Kinh Dịch (Ngô Tất Tố),213250,213250,97,5.0,6,0,https://tiki.vn/kinh-dich-ngo-tat-to-p25728855.html?spid=175540726
278523761,1,Siêu Quậy Teppei Tập 1 – Tập 31,23000,25000,56,5.0,10,8,https://tiki.vn/sieu-quay-teppei-tap-1-tap-31-p278523761.html?spid=278523772
278423155,1,"Sách Hồi Ức, Giấc Mơ, Suy Ngẫm - Hành Trình Vào Nội Tâm Của Carl Jung – Nơi Ký Ức, Giấc Mơ Và Triết Lý Giao Thoa",217000,345000,1258,5.0,68,37,https://tiki.vn/sach-hoi-uc-giac-mo-suy-ngam-hanh-trinh-vao-noi-tam-cua-carl-jung-noi-ky-uc-giac-mo-va-triet-ly-giao-thoa-p278423155.html?spid=278423156
278123405,1,Sobotei Dinh Thự Ma Ám (Chọn tập lẻ),42000,45000,348,5.0,3,7,https://tiki.vn/sobotei-dinh-thu-ma-am-p278123405.html?spid=279041874
277599506,1,Sách Đôi mắt của Mona,236600,338000,402,4.6,24,30,https://tiki.vn/sach-doi-mat-cua-mona-p277599506.html?spid=277599509
277397107,1,Sách Phía Đông Vườn Địa Đàng,252000,380000,383,4.3,52,34,https://tiki.vn/sach-phia-dong-vuon-dia-dang-p277397107.html?spid=277397109
276948798,1,"Sách Lên Đỉnh Núi Mở Tiệm Bánh Mì - Triết lí Wazawaza: Những con người hạnh phúc, 2 loại bánh mì, và doanh thu thường niên 300 triệu Yên",92400,120000,2396,4.8,87,23,https://tiki.vn/sach-len-dinh-nui-mo-tiem-banh-mi-triet-li-wazawaza-nhung-con-nguoi-hanh-phuc-2-loai-banh-mi-va-doanh-thu-thuong-nien-300-trieu-yen-p276948798.html?spid=276948799
276659602,1,Series các tập Claymore,38000,40000,787,5.0,44,5,https://tiki.vn/claymore-01-sat-thu-mat-bac-p276659602.html?spid=277975063
