product_id,Price (After Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,neg_count,neu_count,pos_count
270880693,169000,1518,4.8,53,15,6,1,23
271518926,83300,1424,5.0,59,30,1,1,13
278398007,169000,142,5.0,9,15,0,0,2
276960030,70850,2491,5.0,112,35,2,1,26
403896,236350,738,4.7,74,0,42,21,187
278949629,54000,72,5.0,2,7,0,0,1
278879928,80850,298,5.0,11,23,0,0,3
278859517,119400,67,5.0,11,33,0,0,2
8293201,143000,5637,5.0,427,40,10,12,224
601472,117950,44,5.0,2,0,2,0,2
279116173,199000,3,5.0,1,5,0,0,1
180585154,461350,48,4.8,4,0,0,0,1
278856619,89000,656,5.0,43,23,1,0,17
278838097,123000,312,4.7,16,34,2,0,5
278790552,28500,1311,5.0,136,5,2,1,34
278785576,28500,392,4.8,4,5,0,0,4
142791574,129500,16,5.0,1,0,0,0,7
175465738,727080,22,5.0,1,0,1,0,0
204083235,153350,67,5.0,2,0,0,0,1
25728855,213250,97,5.0,6,0,2,0,5
278523761,23000,56,5.0,10,8,0,1,5
278423155,217000,1258,5.0,68,37,1,2,14
277599506,236600,402,4.6,24,30,1,1,4
277397107,252000,383,4.3,52,34,8,6,11
276948798,92400,2396,4.8,87,23,4,0,12
276659602,38000,787,5.0,44,5,1,0,11
276425570,34650,199,5.0,7,23,0,0,1
274363543,110000,5240,5.0,258,33,6,1,60
273819808,239000,1006,4.8,3766,0,65,28,168
272404892,111000,287,5.0,9,33,0,0,4
272367381,73150,2663,5.0,147,23,3,0,32
271162836,169000,1076,5.0,104,25,3,1,26
263070154,152460,5082,4.8,329,23,12,6,65
253054602,38000,110,4.2,6,0,1,0,1
249876840,157000,1811,5.0,159,25,5,6,44
202879294,120000,6104,5.0,488,25,12,5,95
194960730,98000,4541,5.0,333,25,15,4,71
139303869,86000,5963,5.0,582,33,14,12,114
101782486,101000,4145,4.7,339,36,26,17,69
95289208,84000,5203,5.0,512,34,11,11,178
82912488,98000,11508,5.0,1281,25,15,8,174
52789367,68200,39630,5.0,6072,28,28,19,230
13446508,75000,6875,5.0,813,25,27,22,158
13419678,67760,24012,4.8,2538,23,28,19,158
1647103,142000,1621,4.8,113,25,9,3,38
540039,148000,8435,4.8,960,25,19,21,149
189940673,105500,853,4.8,55,34,2,1,17
278967562,118750,107,5.0,23,5,2,0,4
278901566,168000,226,5.0,9,30,1,0,4
278872177,254000,240,5.0,18,35,0,0,6
278729078,35000,16,5.0,3,8,0,0,1
59478514,219350,54,5.0,2,0,13,18,104
276557994,381000,3,5.0,1,0,0,0,1
56365400,230350,884,4.7,190,0,43,33,224
278724728,153000,591,5.0,14,36,0,0,1
278691939,130130,154,5.0,1,23,0,0,1
278590521,99000,155,5.0,8,25,1,0,2
278504736,220000,1067,5.0,181,30,10,3,40
6778697,161100,487,5.0,61,0,6,7,49
192726226,239000,35,5.0,8,0,1,0,1
278451452,67200,24,5.0,1,30,0,0,1
278496130,24000,127,5.0,521,4,15,19,145
278275295,94500,453,4.6,412,30,37,29,264
278275166,48000,599,5.0,9,13,0,0,1
277962612,116000,252,5.0,27,31,1,0,0
277671463,41000,9,5.0,8,9,0,1,3
276753420,15000,397,5.0,1,50,1,0,0
276019606,117000,325,5.0,177,33,4,6,51
273691914,139300,363,4.7,25,30,2,1,9
272854044,149000,1237,5.0,49,25,0,0,11
272447903,120400,219,5.0,50,29,1,1,11
272447731,146400,228,5.0,65,13,3,0,17
271380890,84000,4472,5.0,971,33,15,6,127
263514100,105100,554,5.0,38,22,0,2,14
263419926,204000,510,4.7,36,33,4,0,14
225912339,100900,3419,4.7,236,32,13,6,59
220665663,103950,2628,4.8,161,23,8,2,35
210277880,315000,2630,4.8,226,30,14,9,47
207035097,125000,1797,5.0,101,22,4,3,38
140416370,175560,9156,5.0,790,23,18,14,127
124767703,80850,8731,5.0,768,23,13,18,138
90056907,112200,5194,5.0,594,32,16,11,144
76013370,140000,2681,5.0,316,23,12,9,97
74021317,70200,76652,5.0,13501,35,57,18,298
8885995,105000,18260,4.8,2750,30,57,30,201
4780917,90300,22849,4.8,2722,30,43,21,196
3954355,118300,43067,5.0,4077,30,27,11,226
3304875,97300,34746,5.0,4869,30,35,19,256
279149141,79000,85,5.0,9,20,1,0,1
278959516,92000,72,4.8,5,23,1,0,1
278949599,24500,198,5.0,17,2,0,1,3
278872225,175000,148,4.7,10,33,2,0,1
278800709,167700,118,5.0,1,32,1,0,0
278756674,37000,82,5.0,3,8,0,0,3
278516481,144000,62,4.8,11,33,1,0,5
278492587,77400,106,5.0,16,10,0,0,3
278110636,72000,314,4.6,27,25,4,0,8
277938216,151000,616,5.0,17,25,0,0,3
276968794,35000,48,3.8,4,0,1,0,0
276912755,134400,398,4.8,18,30,0,0,4
276471716,66700,641,4.8,314,33,12,2,80
275178313,110000,471,4.7,23,33,2,1,5
274955702,33000,223,3.0,2,0,1,0,0
274844704,143000,748,4.8,31,33,3,0,5
273456914,21000,70,5.0,28,48,0,0,2
212992705,101500,1655,5.0,63,30,1,2,16
196280107,104000,516,4.8,33,20,2,1,7
195291930,100100,4754,5.0,270,23,3,9,65
186286187,78000,4762,5.0,175,26,2,4,41
176909221,153230,3690,5.0,524,23,15,10,146
170708233,142000,11908,4.8,881,25,34,8,145
165030729,135000,1881,5.0,174,25,4,4,50
73787185,181300,23909,4.8,4227,30,52,27,217
52329763,131600,7193,4.8,1218,30,34,17,145
13920941,502000,4834,4.8,852,5,16,14,165
8885999,84000,22489,5.0,2107,30,22,16,216
7833728,60000,38259,4.8,3580,25,33,22,235
750578,68000,62447,4.7,2303,38,36,19,166
279120672,201000,49,5.0,6,11,0,1,2
278892527,38000,100,4.0,2,5,1,0,0
278756735,385000,110,5.0,6,30,0,0,2
278489414,124900,216,5.0,5,21,2,0,0
278445298,57000,946,5.0,260,5,10,11,45
278159875,105000,413,4.7,23,30,3,1,4
277770425,119000,1097,5.0,76,25,1,1,15
277591013,166250,155,5.0,15,5,0,0,6
276833162,42000,837,5.0,2811,30,11,13,204
276750755,310000,238,5.0,100,22,3,4,27
276313958,166000,1336,5.0,58,29,3,1,9
276302840,210800,211,5.0,13,29,0,0,1
276159943,222500,2673,5.0,182,32,6,5,29
275406600,126300,2967,4.7,91,35,6,3,16
273717706,99330,1635,4.8,91,23,5,1,20
273596551,110600,299,5.0,11,30,0,0,4
271916321,99000,5498,5.0,466,24,26,15,120
271118010,105000,2214,5.0,137,32,4,2,38
249875170,199000,2733,5.0,364,33,6,11,116
212597849,9000,3618,3.0,2,0,1,0,0
194960744,109000,1241,5.0,61,25,0,1,15
187843291,63000,2282,5.0,147,30,6,3,34
184419723,194000,4957,5.0,430,35,13,7,86
179063564,89000,3733,4.8,278,26,10,8,77
177637709,139000,6624,5.0,168,25,5,3,47
143226165,76230,1190,4.8,244,23,10,10,59
143226162,104000,1533,4.8,125,35,3,4,32
57325187,75460,17917,5.0,2549,23,23,11,185
48481763,189900,5380,4.8,658,36,29,18,141
42230121,154000,37245,5.0,3736,3,32,19,227
35191892,165200,20794,4.6,1836,30,71,21,177
7982628,284000,13277,4.8,1495,25,38,18,198
3639597,70000,49079,4.8,4045,30,32,14,236
1080002,1340000,10831,4.7,1597,23,45,31,246
544731,150000,3946,5.0,470,24,13,6,134
540040,118000,5425,4.8,636,25,18,13,132
278959496,118000,104,4.8,6,19,1,0,2
278949727,164000,34,5.0,3,33,1,0,0
278948895,190000,192,4.8,12,5,0,1,3
278860287,92000,258,4.7,18,20,1,0,4
278663242,505900,401,4.8,39,23,1,0,6
278445037,46000,34,5.0,2,8,0,0,1
278377639,160930,351,5.0,32,23,0,1,6
278123404,80000,302,4.7,15,11,1,1,1
278103698,51000,83,5.0,3,7,2,0,0
277585868,152460,203,5.0,10,23,0,0,1
277539447,66000,124,5.0,7,34,1,0,1
277384364,51000,356,5.0,17,7,0,1,0
277228103,112800,155,5.0,9,33,0,0,1
276823777,235000,894,5.0,57,24,1,2,11
276641698,93000,1499,5.0,104,26,2,3,26
276388548,169500,3721,4.7,226,37,16,7,44
276174669,206900,142,5.0,9,17,0,0,2
275793457,129000,314,5.0,82,34,0,1,18
274960240,35000,179,5.0,3,0,0,0,2
274327420,153000,97,4.8,12,19,0,1,4
273114488,116200,2177,4.6,80,35,4,0,8
273079628,59000,713,5.0,129,25,0,1,31
271379451,116200,9842,4.7,478,35,27,15,70
261982682,106000,2459,5.0,106,33,1,1,31
217173376,12000,469,5.0,10,0,0,0,2
214186194,123000,2425,4.8,141,35,6,4,23
214186191,111000,1769,4.7,115,30,8,3,25
198089172,30000,654,5.0,63,0,1,2,9
195801321,76800,2594,4.7,112,35,6,4,18
132366458,180000,283,5.0,34,25,1,1,10
104769768,733000,5053,5.0,883,13,22,21,196
76305756,102200,176,4.8,29,30,2,1,11
51903728,71000,1671,5.0,372,25,12,14,108
40933969,150000,6532,5.0,529,25,11,9,126
10005245,131600,53278,4.8,4228,30,50,24,183
833434,60000,1125,4.8,52,20,2,2,18
279106083,91000,69,5.0,6,17,0,0,4
278863032,156100,110,4.0,4,29,1,0,0
278809843,160930,87,5.0,2,23,0,0,1
278788044,33000,130,5.0,3,6,0,0,1
278749523,124600,61,5.0,7,0,0,0,1
278729070,33000,128,5.0,6,6,0,0,5
278316450,71250,176,5.0,7,5,0,0,1
278249906,245000,68,5.0,3,30,0,0,1
277024165,133000,446,4.8,41,30,0,0,6
276922095,147000,982,4.7,42,36,3,2,9
276718105,99000,378,5.0,29,49,2,0,6
276379811,42000,176,5.0,30,7,0,0,4
275702538,112300,3413,4.7,196,34,6,7,35
275044457,122500,770,5.0,40,30,1,0,8
274031576,44000,1849,5.0,111,8,1,1,3
272449818,83930,2720,5.0,151,23,4,1,28
271219230,120000,1183,4.8,103,33,10,4,21
249875142,98000,143,5.0,7,32,0,0,1
212212206,132000,716,5.0,39,30,1,1,13
207754093,113200,993,4.8,67,29,3,0,8
155550591,119000,5345,5.0,386,33,8,3,119
147058065,119300,2491,4.8,236,29,9,4,67
106362865,67600,769,4.7,68,32,3,3,22
91947689,169200,9619,5.0,993,32,17,16,158
73120237,39000,568,4.7,46,71,3,5,18
32490132,131000,9343,4.8,611,25,9,13,174
15267827,60200,26916,5.0,3523,20,37,22,228
11951795,212000,1139,4.7,64,23,3,4,25
8886007,112000,10676,4.8,1380,30,33,17,168
3859125,77800,1816,4.7,156,35,9,5,50
997535,92000,9195,4.8,836,20,28,13,207
278979103,595000,74,4.7,3,0,0,0,2
278626139,107000,155,5.0,10,21,0,1,3
278591040,160930,227,4.8,13,23,0,0,3
278160412,184030,209,5.0,4,23,0,0,1
278035545,165000,368,4.6,13,31,1,0,0
277967046,236000,94,4.8,5,0,1,0,1
277726531,425000,146,4.7,15,27,3,2,9
275948240,140000,1051,4.7,48,36,3,2,8
275237444,87000,447,5.0,34,28,1,2,8
275140709,77220,582,4.8,17,22,0,1,4
249875150,166000,2075,5.0,197,35,6,3,38
207256575,91630,8409,4.8,624,23,24,25,111
206784512,187000,250,4.5,18,30,2,0,4
195545304,85000,4675,4.8,151,35,7,1,30
191782162,78000,2412,5.0,165,26,2,3,37
187827445,85000,1340,5.0,156,26,4,2,35
137161811,8000,888,5.0,54,0,5,7,152
120219394,64400,6254,5.0,614,30,12,16,127
114937969,126000,6974,5.0,1143,30,35,18,158
112825941,94500,1497,4.8,163,30,6,6,43
111537683,83000,2364,5.0,462,25,17,11,122
107802183,98560,10015,5.0,973,23,14,9,174
105663942,90860,5520,5.0,500,23,7,10,122
76175345,128300,920,4.8,140,36,5,5,45
75307228,129360,14826,5.0,2141,23,31,15,184
59262880,113960,7520,4.8,980,23,21,9,154
57354850,121000,917,5.0,172,24,3,8,80
12053550,165000,1408,4.8,160,25,8,5,46
9948009,87500,7233,4.8,554,30,26,16,135
8835159,63000,45453,4.8,3175,26,28,14,208
1534613,206000,2634,4.8,334,26,10,14,90
278747047,478800,61,2.8,4,27,2,0,1
278707611,14000,30,4.0,6,30,2,0,3
278668649,52000,62,5.0,4,26,0,0,1
277998254,96000,180,5.0,11,26,0,0,3
276981105,110000,60,5.0,12,0,0,0,5
275362670,40000,1562,5.0,53,11,0,0,3
275264393,129360,3517,5.0,158,23,2,0,39
275218105,98560,215,4.8,9,23,1,0,2
274546151,98000,3325,5.0,185,30,2,6,44
274242104,70000,326,4.8,13,30,2,0,5
273746688,169100,112,4.8,20,26,1,0,7
272000024,132300,5065,5.0,256,30,7,3,56
271495378,178800,236,5.0,7,28,0,0,1
270442396,95000,117,4.7,6,26,0,1,0
262590428,57000,3971,5.0,275,21,7,6,63
253398071,197000,252,4.8,26,33,1,0,6
243097256,101000,4081,5.0,217,25,4,4,44
243006533,124000,845,5.0,73,25,1,3,13
205942263,92400,2326,4.8,66,30,5,1,19
196150482,110000,588,5.0,70,35,2,2,16
188940817,73000,10713,4.8,1210,8,38,40,188
185909452,137060,1670,5.0,153,23,1,4,32
177487151,123000,2031,5.0,269,23,7,6,95
155463021,496800,688,4.8,81,29,6,4,26
147920903,94500,15385,4.8,2082,30,55,31,196
117238177,105000,11260,5.0,1954,30,34,23,223
77982982,127000,3637,4.8,367,36,20,25,102
54266567,84700,14421,5.0,1850,23,20,16,183
19588948,82000,4141,4.5,211,25,24,10,70
17493916,127000,988,5.0,83,24,2,1,37
3644267,62780,16062,4.6,603,27,44,16,145
1699251,114100,3098,4.8,128,28,8,6,35
1362559,128800,5689,4.6,457,35,32,14,134
1256319,144300,2063,4.7,110,27,10,3,28
278998895,172000,63,4.8,9,17,0,0,1
278637425,122200,167,4.8,5,35,0,0,1
278445062,144760,318,5.0,13,23,0,0,5
276886135,46000,371,5.0,160,33,2,0,39
276642618,103000,235,4.8,423,26,15,16,106
276509013,194000,86,4.5,2,22,0,0,1
275794409,105000,410,4.8,21,30,2,0,1
275613236,118000,768,4.8,92,25,6,1,27
274802547,75800,468,5.0,7,30,0,0,1
274728364,189000,597,4.8,115,31,6,4,21
274458341,186000,644,5.0,46,24,2,1,9
270504803,154700,900,5.0,24,25,0,2,7
247843970,349000,779,5.0,57,0,1,2,21
205819593,47800,678,5.0,118,18,3,6,32
187827003,84700,29805,5.0,1859,23,24,22,209
176824194,118200,765,5.0,74,32,1,4,17
157244522,47000,546,5.0,49,22,1,1,12
130230756,721000,315,5.0,85,7,4,4,43
107026335,55300,1243,4.8,100,30,4,3,23
87391039,89000,1932,5.0,230,26,11,5,63
57815506,137060,4277,4.8,418,23,16,12,98
50322710,150000,9286,5.0,970,25,22,12,121
49910019,77000,8329,5.0,632,19,17,14,125
17336364,90300,19300,4.8,3557,30,52,28,256
14683301,60060,3752,4.7,396,23,7,12,108
8121460,105000,32428,4.8,1911,19,27,16,221
509829,98000,4894,4.8,311,2,35,15,147
503787,243000,119,4.5,4,24,1,0,6
447343,81000,906,4.7,47,35,4,2,15
278749397,269100,37,5.0,3,10,0,0,1
278475152,416300,43,5.0,2,17,0,0,1
278451455,175000,227,5.0,15,30,1,0,1
278311349,66000,125,5.0,74,34,2,5,17
278229572,155000,81,5.0,8,13,0,0,2
278159885,262500,265,5.0,17,30,1,0,4
277809376,120000,779,5.0,36,25,0,1,9
277728224,130000,7717,4.8,456,31,14,7,80
277361266,98560,87,4.3,6,23,1,0,0
276660934,264000,194,4.7,20,33,3,1,1
275087003,147000,61,5.0,9,30,0,0,4
273787209,188300,136,5.0,19,30,2,0,6
271278938,229460,1203,5.0,55,23,4,1,8
270529639,106000,1902,5.0,92,24,2,3,14
201845361,217000,1663,5.0,131,36,4,4,26
199728540,15000,1002,5.0,71,0,0,2,12
179721624,30000,262,5.0,25,0,0,0,6
173745189,270000,1483,5.0,205,30,8,8,52
168662171,56000,2832,5.0,193,25,1,2,59
139567621,113960,3555,5.0,304,23,8,13,71
86517373,245000,7458,4.8,1379,30,30,21,223
80657321,121000,4486,5.0,589,33,3,14,169
77225336,49000,1525,4.8,223,30,6,8,60
76776245,84900,6441,4.8,734,34,22,19,105
37887031,121000,1927,4.8,180,24,5,7,59
32802803,207600,1708,4.8,148,26,7,6,48
14655136,96600,2156,4.7,354,30,35,17,102
10920495,118000,7513,5.0,856,21,6,9,193
10392851,113000,7489,5.0,878,25,8,14,197
1864759,152000,2112,5.0,263,19,10,10,71
1750249,327300,10436,4.7,607,34,38,15,167
1453497,204000,944,4.8,82,24,1,2,28
